popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,average,balanced_average
5,5,5,5,5,5,5,5,5,5,5,3,0.6823094558555186,0.683086541545671
5,5,5,5,5,5,5,5,5,5,5,4,0.6823562438590746,0.6831279680921577
5,5,5,5,5,5,5,5,5,5,5,6,0.682543395873298,0.6833164152285748
5,5,5,5,5,5,5,5,5,5,5,7,0.6828241238946334,0.6835932163162739
5,5,5,5,5,5,5,5,5,5,5,9,0.6823562438590746,0.6831302286870743
5,3,5,5,5,5,5,5,5,5,5,5,0.6798764796706125,0.6806377098328324
5,4,5,5,5,5,5,5,5,5,5,5,0.6878772282786694,0.6885233632386335
5,6,5,5,5,5,5,5,5,5,5,5,0.6878772282786694,0.6885233632386335
5,7,5,5,5,5,5,5,5,5,5,5,0.6839470359799747,0.6846586138491613
5,9,5,5,5,5,5,5,5,5,5,5,0.6870818322182193,0.687739165919321
5,5,3,5,5,5,5,5,5,5,5,5,0.6793150236279418,0.6802687175542066
5,5,4,5,5,5,5,5,5,5,5,5,0.6750105273008,0.6761569597158651
5,5,6,5,5,5,5,5,5,5,5,5,0.6750105273008,0.6761569597158651
5,5,7,5,5,5,5,5,5,5,5,5,0.6802975717026154,0.6811591223139906
5,5,9,5,5,5,5,5,5,5,5,5,0.6794553876386095,0.6803670462960718
5,5,5,3,5,5,5,5,5,5,5,5,0.6790342956066064,0.6797570803066003
5,5,5,4,5,5,5,5,5,5,5,5,0.677537079492818,0.6783295250355833
5,5,5,6,5,5,5,5,5,5,5,5,0.6784728395639358,0.6790503926781766
5,5,5,7,5,5,5,5,5,5,5,5,0.6758994993683619,0.6765426432974943
5,5,5,9,5,5,5,5,5,5,5,5,0.6838066719693071,0.6845657136067202
5,5,5,5,3,5,5,5,5,5,5,5,0.6795489636457213,0.6803591153379722
5,5,5,5,4,5,5,5,5,5,5,5,0.6796893276563889,0.6804962652616056
5,5,5,5,6,5,5,5,5,5,5,5,0.6796893276563889,0.6804962652616056
5,5,5,5,7,5,5,5,5,5,5,5,0.6809526037523979,0.6817397755745837
5,5,5,5,9,5,5,5,5,5,5,5,0.6805782997239508,0.6813751039274947
5,5,5,5,5,3,5,5,5,5,5,5,0.6661675946287372,0.6671154077939222
5,5,5,5,5,4,5,5,5,5,5,5,0.6738876152154587,0.6750601419915165
5,5,5,5,5,6,5,5,5,5,5,5,0.6738876152154587,0.6750601419915165
5,5,5,5,5,7,5,5,5,5,5,5,0.681326907780845,0.6822843107544119
5,5,5,5,5,9,5,5,5,5,5,5,0.6800168436812801,0.6810490590506351
5,5,5,5,5,5,3,5,5,5,5,5,0.6823562438590746,0.6829018764560005
5,5,5,5,5,5,4,5,5,5,5,5,0.6766013194217003,0.6774157243848414
5,5,5,5,5,5,6,5,5,5,5,5,0.6984513170823001,0.6988777516569613
5,5,5,5,5,5,7,5,5,5,5,5,0.6813736957844009,0.6821595681562693
5,5,5,5,5,5,9,5,5,5,5,5,0.7004164132316474,0.7008653939911059
5,5,5,5,5,5,5,3,5,5,5,5,0.6749169512936883,0.675810218713172
5,5,5,5,5,5,5,4,5,5,5,5,0.6770224114537032,0.677874591191068
5,5,5,5,5,5,5,6,5,5,5,5,0.6770224114537032,0.677874591191068
5,5,5,5,5,5,5,7,5,5,5,5,0.6806250877275066,0.6814304504467952
5,5,5,5,5,5,5,9,5,5,5,5,0.6805315117203949,0.6813597258719724
5,5,5,5,5,5,5,5,3,5,5,5,0.6647639545220605,0.6656427346840471
5,5,5,5,5,5,5,5,4,5,5,5,0.6805782997239508,0.681308001857744
5,5,5,5,5,5,5,5,6,5,5,5,0.6805782997239508,0.681308001857744
5,5,5,5,5,5,5,5,7,5,5,5,0.6830580639124129,0.6837956984544318
5,5,5,5,5,5,5,5,9,5,5,5,0.6836195199550835,0.6843426366047477
5,5,5,5,5,5,5,5,5,3,5,5,0.6824030318626304,0.6831546782651664
5,5,5,5,5,5,5,5,5,4,5,5,0.6820755158377392,0.6828472410590233
5,5,5,5,5,5,5,5,5,6,5,5,0.6826837598839658,0.6834350888524913
5,5,5,5,5,5,5,5,5,7,5,5,0.682169091844851,0.6829574787382395
5,5,5,5,5,5,5,5,5,9,5,5,0.6828241238946334,0.6835732444633429
5,5,5,5,5,5,5,5,5,5,3,5,0.6831048519159687,0.6838702039111437
5,5,5,5,5,5,5,5,5,5,4,5,0.683011275908857,0.6837771358522705
5,5,5,5,5,5,5,5,5,5,6,5,0.6829176999017452,0.6836864739547067
5,5,5,5,5,5,5,5,5,5,7,5,0.682590183876854,0.6833596085235808
5,5,5,5,5,5,5,5,5,5,9,5,0.6835727319515277,0.6843477489475674
3,5,5,5,5,5,5,5,5,5,5,5,0.6861460721471014,0.6867138073734501
4,5,5,5,5,5,5,5,5,5,5,5,0.6857717681186544,0.6865696042817785
6,5,5,5,5,5,5,5,5,5,5,5,0.6894212323960137,0.6901330537164738
7,5,5,5,5,5,5,5,5,5,5,5,0.6943807607729379,0.6950809720104785
9,5,5,5,5,5,5,5,5,5,5,5,0.696813736957844,0.6976086778768281
5,5,5,5,5,5,5,5,5,5,5,5,0.6829644879053011,0.6837336609709709
